SESSION-CRYPTO FIELD TAINT V9
Parser output semantic fields established by v8: session algorithm presence/value @ +0x118/+0x11c; session key-length presence/value @ +0x120/+0x128.
Goal: find copies/consumers of this exact four-offset signature in networking code and connect it to P2P constructors.

=== CRYPTO PARSER ENTRY (confirm output pointer) 0x7c088e4-0x7c08980 ===
0x7c088e4: stp       x29, x30, [sp, #-0x60]!
0x7bfdb74: str       x20, [x19]
0x7bfdb78: bl        #0x8b35260
0x7bfdb7c: mov       x8, x0
0x7bfdb80: ldr       x0, [sp, #0x230]
0x7bfdb84: adrp      x9, #0x981e000
0x7bfdb88: add       x9, x9, #0x208
0x7bfdb8c: stp       xzr, x20, [x8, #0x10]
0x7bfdb90: stp       x9, xzr, [x8]
0x7bfdb94: str       x8, [x19, #8]
0x7bfdb98: cbz       x0, #0x7bfdba4
0x7bfdb9c: str       x0, [sp, #0x238]
0x7bfdba0: bl        #0x2efa56c
0x7bfdba4: ldr       x8, [sp, #0x110]
0x7bfdba8: ldr       x8, [x8, #0x28]
0x7bfdbac: ldur      x9, [x29, #-0x18]
0x7bfdbb0: cmp       x8, x9
0x7bfdbb4: b.ne      #0x7bfdbf0
0x7bfdbb8: add       sp, sp, #0x3f0
0x7bfdbbc: ldp       x20, x19, [sp, #0x50]
0x7bfdbc0: ldp       x22, x21, [sp, #0x40]
0x7bfdbc4: ldp       x24, x23, [sp, #0x30]
0x7bfdbc8: ldp       x26, x25, [sp, #0x20]
0x7bfdbcc: ldp       x28, x27, [sp, #0x10]
0x7bfdbd0: ldp       x29, x30, [sp], #0x60
0x7bfdbd4: ret       
0x7bfdbd8: bl        #0x8b382d0
0x7bfdbdc: bl        #0x8b382d0
0x7bfdbe0: bl        #0x8b382d0
0x7bfdbe4: bl        #0x8b382d0
0x7bfdbe8: bl        #0x8b382d0
0x7bfdbec: bl        #0x8b382d0
0x7bfdbf0: bl        #0x8b35290

=== PROFILE LOADER REFERENCES TO EXPECTED PARSER-OUTPUT STACK OFFSETS ===
0x7bfcf2c: strb w21, [sp, #0x378]
0x7bfcf34: strb w21, [sp, #0x380]
0x7bfcf3c: str wzr, [sp, #0x37c]
0x7bfcf40: str x8, [sp, #0x388]
0x7bfcfc4: ldr x9, [sp, #0x360]
0x7bfd01c: ldr x8, [sp, #0x368]
0x7bfd06c: ldr x9, [sp, #0x360]
0x7bfd074: ldr x8, [sp, #0x368]
0x7bfd100: ldrb w8, [sp, #0x378]
0x7bfd104: ldr w9, [sp, #0x37c]
0x7bfd108: ldrb w10, [sp, #0x380]
0x7bfd10c: ldr x11, [sp, #0x388]
0x7bfd5e8: ldr x24, [sp, #0x368]
0x7bfd5f0: ldr x1, [sp, #0x360]
0x7bfd774: ldr x0, [sp, #0x360]
0x7bfd77c: str x0, [sp, #0x368]

=== TRANSPORT PARENT x21 / PROFILE-RESULT USES ===
0x7c0dcb0: stp x22, x21, [sp, #0x40]
0x7c0dd7c: ldr x21, [x8, #0xc58]
0x7c0dd94: csel x25, xzr, x21, eq
0x7c0dd9c: add x21, x19, #8
0x7c0dda4: mov x1, x21
0x7c0ddb0: mov x1, x21
0x7c0de18: ldr x21, [x25, #8]
0x7c0de1c: cbz x21, #0x7c0dea0
0x7c0de20: add x1, x21, #0x10
0x7c0de30: mov x0, x21
0x7c0de80: mov x0, x21
0x7c0ded0: mov x21, xzr
0x7c0deec: bl #0x7bfc91c
0x7c0def0: ldp x28, x21, [sp, #0x10]
0x7c0def4: cbz x21, #0x7c0df34
0x7c0def8: add x1, x21, #8
0x7c0df50: stp x28, x21, [sp]
0x7c0df54: cbz x21, #0x7c0df64
0x7c0df58: add x1, x21, #8
0x7c0e244: bl #0x7bf9ecc
0x7c0e290: bl #0x7c54020
0x7c0e2a8: bl #0x7c557e0
0x7c0e2cc: bl #0x7c56740
0x7c0e2e8: bl #0x7c2eca8
0x7c0e37c: cbz x21, #0x7c0e3a8
0x7c0e380: add x1, x21, #8
0x7c0e390: ldr x8, [x21]
0x7c0e394: mov x0, x21
0x7c0e3a0: mov x0, x21
0x7c0e418: ldp x22, x21, [sp, #0x40]

=== EXACT SESSION-FIELD SIGNATURE FUNCTIONS (>=3/4 offsets on same base register) ===
hit_count=104

-- fn 0x7a1bca0-0x7a1c090 base=x19 offsets=['0x118', '0x120', '0x128'] --
  ...
  0x7a1bcb4: bl        #0x7a193e8
  ...
  0x7a1bd3c: strb      wzr, [x19, #0xf0]
  0x7a1bd40: str       wzr, [x19, #0xf4]
  0x7a1bd44: str       xzr, [x19, #0xf8]
  0x7a1bd48: strb      wzr, [x19, #0x100]
  0x7a1bd4c: str       wzr, [x19, #0x104]
  0x7a1bd50: str       xzr, [x19, #0x108]
  0x7a1bd54: strb      wzr, [x19, #0x110]
  0x7a1bd58: str       wzr, [x19, #0x114]
  0x7a1bd5c: str       xzr, [x19, #0x118]
  0x7a1bd60: strb      wzr, [x19, #0x120]
  0x7a1bd64: str       wzr, [x19, #0x124]
  0x7a1bd68: str       xzr, [x19, #0x128]
  0x7a1bd6c: strb      wzr, [x19, #0x130]
  0x7a1bd70: stp       xzr, xzr, [x19, #0xa0]
  0x7a1bd74: strb      wzr, [x19, #0xb0]
  0x7a1bd78: stp       xzr, xzr, [x19, #0x138]
  0x7a1bd7c: strb      wzr, [x19, #0x148]
  0x7a1bd80: str       xzr, [x9]
  0x7a1bd84: strb      wzr, [x19, #0x184]
  0x7a1bd88: str       wzr, [x8]
  0x7a1bd8c: bl        #0x7d2bf4c
  0x7a1bd90: cbz       x0, #0x7a1bdb4
  0x7a1bd94: ldr       x8, [x0, #0x10]
  0x7a1bd98: ldr       w9, [x8, #0x510]
  ...
  0x7a1bdc0: bl        #0x8b35260
  ...
  0x7a1bdcc: bl        #0x7a25cb8
  ...
  0x7a1bddc: bl        #0x7a19250
  ...
  0x7a1bde4: bl        #0x8b35260
  ...
  0x7a1bdf0: bl        #0x7a2bfc0
  ...
  0x7a1be00: bl        #0x7a19250
  ...
  0x7a1be08: bl        #0x8b35260
  ...
  0x7a1be14: bl        #0x7a2c998
  ...
  0x7a1be24: bl        #0x7a19250
  ...
  0x7a1be2c: bl        #0x8b35260
  ...
  0x7a1be38: bl        #0x7a2cf90
  ...
  0x7a1be48: bl        #0x7a19250
  ...
  0x7a1be50: bl        #0x8b35260
  ...
  0x7a1be5c: bl        #0x7a2c4a8
  ...
  0x7a1be6c: bl        #0x7a19250
  ...
  0x7a1be74: bl        #0x8b35260
  ...
  0x7a1be80: bl        #0x7a2afb8
  ...
  0x7a1be90: bl        #0x7a19250
  ...
  0x7a1be98: bl        #0x8b35260
  ...
  0x7a1bea4: bl        #0x7a2ab34
  ...
  0x7a1beb4: bl        #0x7a19250
  0x7a1beb8: mov       w0, #0x40
  0x7a1bebc: bl        #0x8b35260
  0x7a1bec0: mov       x1, x19
  0x7a1bec4: mov       x20, x0
  0x7a1bec8: bl        #0x7a27cb4
  0x7a1becc: mov       x0, x19
  0x7a1bed0: mov       x1, x20
  0x7a1bed4: str       x20, [x19, #0x118]
  0x7a1bed8: bl        #0x7a19250
  0x7a1bedc: mov       w0, #0x20
  0x7a1bee0: bl        #0x8b35260
  0x7a1bee4: mov       x1, x19
  0x7a1bee8: mov       x20, x0
  0x7a1beec: bl        #0x7a28194
  0x7a1bef0: mov       x0, x19
  0x7a1bef4: mov       x1, x20
  0x7a1bef8: str       x20, [x19, #0x128]
  0x7a1befc: bl        #0x7a19250
  0x7a1bf00: mov       w0, #0x20
  0x7a1bf04: bl        #0x8b35260
  0x7a1bf08: mov       x1, x19
  0x7a1bf0c: mov       x20, x0
  0x7a1bf10: bl        #0x7a256f0
  0x7a1bf14: mov       x0, x19
  0x7a1bf18: mov       x1, x20
  0x7a1bf1c: str       x20, [x19, #0x138]
  0x7a1bf20: bl        #0x7a19250
  0x7a1bf24: mov       w0, #0x20
  0x7a1bf28: bl        #0x8b35260
  ...
  0x7a1bf34: bl        #0x7a2ba3c
  ...
  0x7a1bf44: bl        #0x7a19250
  ...
  0x7a1bf4c: bl        #0x8b35260
  ...
  0x7a1bf58: bl        #0x7a285f4
  ...
  0x7a1bf68: bl        #0x7a19250
  ...
  0x7a1bf70: bl        #0x8b35260
  ...
  0x7a1bf7c: bl        #0x7a28d94
  ...
  0x7a1bf8c: bl        #0x7a19250
  ...
  0x7a1bf94: bl        #0x8b35260
  ...
  0x7a1bfa0: bl        #0x7a2b740
  ...
  0x7a1bfb0: bl        #0x7a19250
  ...
  0x7a1bfb8: bl        #0x79b1480
  ...
  0x7a1bfc0: bl        #0x813fe80
  ...
  0x7a1bfd4: bl        #0x814241c
  ...
  0x7a1bff4: bl        #0x79b1480
  ...
  0x7a1c088: bl        #0x81423dc

-- fn 0x7a1c124-0x7a1d450 base=x19 offsets=['0x118', '0x120', '0x128'] --
  ...
  0x7a1c134: bl        #0x7a1c090
  ...
  0x7a1c1a4: bl        #0x79b1480
  ...
  0x7a1c1c4: bl        #0x7a25e0c
  ...
  0x7a1c1f4: bl        #0x7a25fac
  0x7a1c1f8: bl        #0x2f1ec94
  0x7a1c1fc: bl        #0x2f1ed1c
  ...
  0x7a1c20c: bl        #0x79b1480
  ...
  0x7a1c240: bl        #0x7a25f7c
  ...
  0x7a1c334: movk      x9, #0x554f, lsl #48
  0x7a1c338: ccmp      x10, x9, #0, eq
  0x7a1c33c: mov       w9, #0x444e
  0x7a1c340: ccmp      w8, w9, #0, eq
  0x7a1c344: b.eq      #0x7a1c3a0
  0x7a1c348: mov       w8, #1
  0x7a1c34c: strb      w8, [x19, #0x173]
  0x7a1c350: b         #0x7a1c5c4
  0x7a1c354: ldr       x0, [x19, #0x128]
  0x7a1c358: mov       x1, sp
  0x7a1c35c: strb      wzr, [sp]
  0x7a1c360: bl        #0x7a281ec
  0x7a1c364: tbz       w0, #0, #0x7a1c5c4
  0x7a1c368: ldrb      w8, [sp]
  0x7a1c36c: ldr       w9, [x19, #0x94]
  0x7a1c370: cbz       w8, #0x7a1c494
  0x7a1c374: mov       w8, #4
  0x7a1c378: cmp       w9, #4
  0x7a1c37c: b.ne      #0x7a1c5b8
  0x7a1c380: b         #0x7a1c5c0
  0x7a1c384: ldr       w8, [x19, #0x94]
  ...
  0x7a1c3ec: bl        #0x79b148c
  ...
  0x7a1c40c: bl        #0x2efa4dc
  ...
  0x7a1c4a4: bl        #0x797cfd0
  ...
  0x7a1c4b4: bl        #0x7aacefc
  ...
  0x7a1c4c4: bl        #0x797d180
  ...
  0x7a1c4d4: bl        #0x797e3a4
  ...
  0x7a1c500: bl        #0x797d180
  ...
  0x7a1c528: bl        #0x797e3a4
  ...
  0x7a1c54c: bl        #0x797d180
  ...
  0x7a1c574: bl        #0x797d504
  ...
  0x7a1c630: cbz       x21, #0x7a1c63c
  0x7a1c634: mov       x0, x21
  0x7a1c638: bl        #0x2efa56c
  0x7a1c63c: ldr       x8, [x20, #0x48]
  0x7a1c640: add       x0, x8, #0x20
  0x7a1c644: bl        #0x797a458
  0x7a1c648: tbnz      w0, #0, #0x7a1c5c4
  0x7a1c64c: mov       w20, #1
  0x7a1c650: ldr       x0, [x19, #0x128]
  0x7a1c654: strb      w20, [x19, #0x8a]
  0x7a1c658: strb      w20, [x19, #0x130]
  0x7a1c65c: bl        #0x7a281cc
  0x7a1c660: ldr       w8, [x19, #0x94]
  0x7a1c664: cmp       w8, #7
  0x7a1c668: b.eq      #0x7a1c670
  0x7a1c66c: strb      w20, [x19, #0x90]
  0x7a1c670: mov       w8, #7
  0x7a1c674: b         #0x7a1c5c0
  0x7a1c678: mov       w20, #1
  0x7a1c67c: ldr       x0, [x19, #0x128]
  0x7a1c680: strb      w20, [x19, #0x130]
  0x7a1c684: bl        #0x7a281cc
  0x7a1c688: ldr       w8, [x19, #0x94]
  0x7a1c68c: cmp       w8, #7
  0x7a1c690: b.eq      #0x7a1c698
  0x7a1c694: strb      w20, [x19, #0x90]
  0x7a1c698: mov       w8, #7
  0x7a1c69c: str       w8, [x19, #0x94]
  0x7a1c6a0: cbz       x21, #0x7a1c5c4
  0x7a1c6a4: ldr       x8, [x23, #0x28]
  0x7a1c6a8: ldr       x9, [sp, #8]
  0x7a1c6ac: cmp       x8, x9
  ...
  0x7a1c6d0: bl        #0x8b382d0
  0x7a1c6d4: bl        #0x8b35290
  ...
  0x7a1c728: bl        #0x7a2c088
  ...
  0x7a1c7c0: bl        #0x7a2c0d4
  ...
  0x7a1c808: bl        #0x7a2c0d4
  ...
  0x7a1c828: bl        #0x7a2c0a4
  ...
  0x7a1c8a4: bl        #0x8b35290
  ...
  0x7a1c8f8: bl        #0x7a2d058
  ...
  0x7a1c990: bl        #0x7a2d0a4
  ...
  0x7a1c9d8: bl        #0x7a2d0a4
  ...
  0x7a1c9f8: bl        #0x7a2d074
  ...
  0x7a1ca74: bl        #0x8b35290
  ...
  0x7a1cab4: bl        #0x79b1480
  ...
  0x7a1cacc: bl        #0x7af21d4
  ...
  0x7a1cb40: bl        #0x7a193a4
  ...
  0x7a1cb6c: strb      wzr, [x19, #0x90]
  0x7a1cb70: strb      wzr, [x19, #0xb0]
  0x7a1cb74: strb      wzr, [x19, #0xc0]
  0x7a1cb78: strb      wzr, [x19, #0xd0]
  0x7a1cb7c: strb      wzr, [x19, #0xe0]
  0x7a1cb80: strb      wzr, [x19, #0xf0]
  0x7a1cb84: strb      wzr, [x19, #0x100]
  0x7a1cb88: strb      wzr, [x19, #0x110]
  0x7a1cb8c: strb      wzr, [x19, #0x120]
  0x7a1cb90: strb      wzr, [x19, #0x148]
  0x7a1cb94: strb      wzr, [x19, #0x160]
  0x7a1cb98: bl        #0x7a1c148
  0x7a1cb9c: mov       x0, x19
  0x7a1cba0: bl        #0x7a1c6d8
  0x7a1cba4: ldr       w8, [x19, #0xc4]
  0x7a1cba8: sub       w8, w8, #1
  0x7a1cbac: cmp       w8, #4
  0x7a1cbb0: b.hi      #0x7a1cd64
  0x7a1cbb4: adr       x9, #0x7a1cbc4
  0x7a1cbb8: ldrb      w10, [x23, x8]
  0x7a1cbbc: add       x9, x9, x10, lsl #2
  ...
  0x7a1cbd8: bl        #0x7a1c8a8
  ...
  0x7a1cbf8: bl        #0x2f1ec94
  0x7a1cbfc: bl        #0x2f1ed1c
  ...
  0x7a1cc88: bl        #0x7a2cb7c
  ...
  0x7a1cca0: bl        #0x7a1c8a8
  ...
  0x7a1cce0: bl        #0x7a1c8a8
  ...
  0x7a1ccfc: bl        #0x7a2cb7c
  ...
  0x7a1cd1c: bl        #0x7a2cb4c
  ...
  0x7a1cd48: bl        #0x7a1c8a8
  ...
  0x7a1cd68: bl        #0x7a1c8a8
  ...
  0x7a1ce20: bl        #0x7a2c5bc
  ...
  0x7a1ce84: bl        #0x7a2c5bc
  ...
  0x7a1cea4: bl        #0x7a2c58c
  ...
  0x7a1ceec: bl        #0x7a1c8a8
  ...
  0x7a1cf2c: bl        #0x7a2b140
  ...
  0x7a1cf54: bl        #0x7a2b110
  ...
  0x7a1cfac: bl        #0x7a2b07c
  ...
  0x7a1cfcc: bl        #0x7a2b07c
  ...
  0x7a1d01c: bl        #0x7a2abf8
  ...
  0x7a1d064: bl        #0x7a2ac44
  ...
  0x7a1d08c: bl        #0x7a2ac14
  ...
  0x7a1d0c0: ldr       w8, [x19, #0x114]
  0x7a1d0c4: sub       w8, w8, #1
  0x7a1d0c8: cmp       w8, #4
  0x7a1d0cc: b.hi      #0x7a1d1e0
  0x7a1d0d0: adr       x9, #0x7a1d0e0
  0x7a1d0d4: ldrb      w10, [x25, x8]
  0x7a1d0d8: add       x9, x9, x10, lsl #2
  0x7a1d0dc: br        x9
  0x7a1d0e0: ldr       x0, [x19, #0x118]
  0x7a1d0e4: bl        #0x7a27dc8
  0x7a1d0e8: ldr       w8, [x19, #0x114]
  0x7a1d0ec: cbz       w8, #0x7a1d0f4
  0x7a1d0f0: strb      w21, [x19, #0x110]
  0x7a1d0f4: str       wzr, [x19, #0x114]
  0x7a1d0f8: ldr       w8, [x19, #0x124]
  0x7a1d0fc: sub       w9, w8, #3
  0x7a1d100: cmp       w9, #2
  0x7a1d104: b.hs      #0x7a1d1f0
  0x7a1d108: strb      w21, [x19, #0x120]
  0x7a1d10c: str       wzr, [x19, #0x124]
  0x7a1d110: ldr       w8, [x19, #0x164]
  0x7a1d114: sub       w9, w8, #3
  0x7a1d118: cmp       w9, #2
  0x7a1d11c: b.hs      #0x7a1d298
  0x7a1d120: ldr       x0, [x19, #0x168]
  0x7a1d124: bl        #0x7a2b84c
  0x7a1d128: ldr       w8, [x19, #0x164]
  0x7a1d12c: cbz       w8, #0x7a1d134
  0x7a1d130: strb      w21, [x19, #0x160]
  0x7a1d134: str       wzr, [x19, #0x164]
  0x7a1d138: b         #0x7a1d310
  ...
  0x7a1d154: cbnz      w8, #0x7a1d1e0
  0x7a1d158: strb      w21, [x19, #0x110]
  0x7a1d15c: str       w24, [x19, #0x114]
  0x7a1d160: ldr       w8, [x19, #0x124]
  0x7a1d164: sub       w9, w8, #3
  0x7a1d168: cmp       w9, #2
  0x7a1d16c: b.hs      #0x7a1d1f0
  0x7a1d170: b         #0x7a1d108
  0x7a1d174: ldr       x0, [x19, #0x118]
  0x7a1d178: cbz       x0, #0x7a1d36c
  0x7a1d17c: bl        #0x7a27d7c
  0x7a1d180: ldr       w8, [x19, #0x114]
  0x7a1d184: cmp       w8, #2
  0x7a1d188: b.eq      #0x7a1d190
  0x7a1d18c: strb      w21, [x19, #0x110]
  0x7a1d190: str       w26, [x19, #0x114]
  0x7a1d194: ldr       w8, [x19, #0x124]
  0x7a1d198: sub       w9, w8, #3
  0x7a1d19c: cmp       w9, #2
  0x7a1d1a0: b.hs      #0x7a1d1f0
  0x7a1d1a4: b         #0x7a1d108
  0x7a1d1a8: ldr       x0, [x19, #0x118]
  0x7a1d1ac: cbz       x0, #0x7a1d36c
  0x7a1d1b0: sub       x1, x29, #0x14
  0x7a1d1b4: sturb     wzr, [x29, #-0x14]
  0x7a1d1b8: bl        #0x7a27d98
  0x7a1d1bc: tbz       w0, #0, #0x7a1d1e0
  0x7a1d1c0: ldurb     w8, [x29, #-0x14]
  0x7a1d1c4: cbz       w8, #0x7a1d3ec
  0x7a1d1c8: ldr       w9, [x19, #0x114]
  0x7a1d1cc: mov       w8, #5
  0x7a1d1d0: cmp       w9, #5
  0x7a1d1d4: b.eq      #0x7a1d1dc
  0x7a1d1d8: strb      w21, [x19, #0x110]
  ...
  0x7a1d1e0: ldr       w8, [x19, #0x124]
  0x7a1d1e4: sub       w9, w8, #3
  0x7a1d1e8: cmp       w9, #2
  0x7a1d1ec: b.lo      #0x7a1d108
  0x7a1d1f0: cmp       w8, #2
  0x7a1d1f4: b.eq      #0x7a1d234
  0x7a1d1f8: cmp       w8, #1
  0x7a1d1fc: b.ne      #0x7a1d288
  0x7a1d200: ldr       x0, [x19, #0x128]
  0x7a1d204: cbz       x0, #0x7a1d280
  0x7a1d208: bl        #0x7a281cc
  0x7a1d20c: ldr       w8, [x19, #0x124]
  0x7a1d210: cmp       w8, #2
  0x7a1d214: b.eq      #0x7a1d21c
  0x7a1d218: strb      w21, [x19, #0x120]
  0x7a1d21c: str       w26, [x19, #0x124]
  0x7a1d220: ldr       w8, [x19, #0x164]
  0x7a1d224: sub       w9, w8, #3
  0x7a1d228: cmp       w9, #2
  0x7a1d22c: b.hs      #0x7a1d298
  0x7a1d230: b         #0x7a1d120
  0x7a1d234: ldr       x0, [x19, #0x128]
  0x7a1d238: cbz       x0, #0x7a1d280
  0x7a1d23c: sub       x1, x29, #0x10
  0x7a1d240: sturb     wzr, [x29, #-0x10]
  0x7a1d244: bl        #0x7a281ec
  0x7a1d248: tbz       w0, #0, #0x7a1d288
  0x7a1d24c: ldurb     w8, [x29, #-0x10]
  0x7a1d250: cbz       w8, #0x7a1d3a4
  0x7a1d254: ldr       w9, [x19, #0x124]
  0x7a1d258: mov       w8, #4
  0x7a1d25c: cmp       w9, #4
  0x7a1d260: b.eq      #0x7a1d268
  0x7a1d264: strb      w21, [x19, #0x120]
  0x7a1d268: str       w8, [x19, #0x124]
  0x7a1d26c: ldr       w8, [x19, #0x164]
  0x7a1d270: sub       w9, w8, #3
  0x7a1d274: cmp       w9, #2
  0x7a1d278: b.hs      #0x7a1d298
  0x7a1d27c: b         #0x7a1d120
  0x7a1d280: strb      w21, [x19, #0x120]
  0x7a1d284: str       w24, [x19, #0x124]
  0x7a1d288: ldr       w8, [x19, #0x164]
  0x7a1d28c: sub       w9, w8, #3
  0x7a1d290: cmp       w9, #2
  0x7a1d294: b.lo      #0x7a1d120
  0x7a1d298: cmp       w8, #2
  0x7a1d29c: b.eq      #0x7a1d2cc
  0x7a1d2a0: cmp       w8, #1
  0x7a1d2a4: b.ne      #0x7a1d310
  0x7a1d2a8: ldr       x0, [x19, #0x168]
  0x7a1d2ac: cbz       x0, #0x7a1d308
  0x7a1d2b0: bl        #0x7a2b800
  ...
  0x7a1d2dc: bl        #0x7a2b81c
  ...
  0x7a1d330: ldrb      w8, [x19, #0xe0]
  0x7a1d334: cbnz      w8, #0x7a1cb3c
  0x7a1d338: ldrb      w8, [x19, #0xf0]
  0x7a1d33c: cbnz      w8, #0x7a1cb3c
  0x7a1d340: ldrb      w8, [x19, #0x100]
  0x7a1d344: cbnz      w8, #0x7a1cb3c
  0x7a1d348: ldrb      w8, [x19, #0x110]
  0x7a1d34c: cbnz      w8, #0x7a1cb3c
  0x7a1d350: ldrb      w8, [x19, #0x120]
  0x7a1d354: cbnz      w8, #0x7a1cb3c
  0x7a1d358: ldrb      w8, [x19, #0x148]
  0x7a1d35c: cbnz      w8, #0x7a1cb3c
  0x7a1d360: ldrb      w8, [x19, #0x160]
  0x7a1d364: cbnz      w8, #0x7a1cb3c
  0x7a1d368: b         #0x7a1cad4
  0x7a1d36c: strb      w21, [x19, #0x110]
  0x7a1d370: str       w27, [x19, #0x114]
  0x7a1d374: ldr       w8, [x19, #0x124]
  0x7a1d378: sub       w9, w8, #3
  0x7a1d37c: cmp       w9, #2
  0x7a1d380: b.hs      #0x7a1d1f0
  ...
  0x7a1d44c: bl        #0x8b35290

-- fn 0x7a2d89c-0x7a2e350 base=x19 offsets=['0x118', '0x120', '0x128'] --
  ...
  0x7a2d8b8: bl        #0x813fe80
  0x7a2d8bc: bl        #0x814241c
  ...
  0x7a2d8c8: bl        #0x813fe80
  0x7a2d8cc: bl        #0x814244c
  ...
  0x7a2d8ec: bl        #0x7a2da90
  ...
  0x7a2d8f4: bl        #0x7a2d9a4
  ...
  0x7a2d95c: bl        #0x7a2da90
  ...
  0x7a2d9d8: bl        #0x7a2d7b8
  ...
  0x7a2d9e4: bl        #0x813fe80
  ...
  0x7a2d9ec: bl        #0x8142438
  ...
  0x7a2da30: bl        #0x7aabba0
  ...
  0x7a2da38: bl        #0x7aabc24
  ...
  0x7a2da8c: bl        #0x8b35290
  ...
  0x7a2dac8: blr       x8
  ...
  0x7a2db10: blr       x8
  ...
  0x7a2db28: blr       x8
  0x7a2db2c: str       xzr, [x19, #0x108]
  0x7a2db30: ldr       x0, [x19, #0x110]
  0x7a2db34: cbz       x0, #0x7a2db48
  0x7a2db38: ldr       x8, [x0]
  0x7a2db3c: ldr       x8, [x8, #0x28]
  0x7a2db40: blr       x8
  0x7a2db44: str       xzr, [x19, #0x110]
  0x7a2db48: ldr       x0, [x19, #0x118]
  0x7a2db4c: cbz       x0, #0x7a2db60
  0x7a2db50: ldr       x8, [x0]
  0x7a2db54: ldr       x8, [x8, #0x28]
  0x7a2db58: blr       x8
  0x7a2db5c: str       xzr, [x19, #0x118]
  0x7a2db60: ldr       x0, [x19, #0x120]
  0x7a2db64: cbz       x0, #0x7a2db78
  0x7a2db68: ldr       x8, [x0]
  0x7a2db6c: ldr       x8, [x8, #0x28]
  0x7a2db70: blr       x8
  0x7a2db74: str       xzr, [x19, #0x120]
  0x7a2db78: ldr       x0, [x19, #0x128]
  0x7a2db7c: cbz       x0, #0x7a2db90
  0x7a2db80: ldr       x8, [x0]
  0x7a2db84: ldr       x8, [x8, #0x28]
  0x7a2db88: blr       x8
  0x7a2db8c: str       xzr, [x19, #0x128]
  0x7a2db90: bl        #0x7ae0690
  0x7a2db94: tbnz      w0, #0, #0x7a2dbac
  0x7a2db98: bl        #0x7ae0920
  0x7a2db9c: tbnz      w0, #0, #0x7a2dbb8
  0x7a2dba0: ldr       x8, [x19, #0xb0]
  0x7a2dba4: cbnz      x8, #0x7a2dbc4
  0x7a2dba8: b         #0x7a2dbec
  0x7a2dbac: bl        #0x7ae0450
  0x7a2dbb0: bl        #0x7ae0920
  0x7a2dbb4: tbz       w0, #0, #0x7a2dba0
  0x7a2dbb8: bl        #0x7ae07e4
  0x7a2dbbc: ldr       x8, [x19, #0xb0]
  ...
  0x7a2dbf4: bl        #0x7d2bf4c
  ...
  0x7a2dc00: bl        #0x7d34960
  ...
  0x7a2dc08: bl        #0x79b1480
  ...
  0x7a2dc14: bl        #0x79c9588
  0x7a2dc18: bl        #0x7a73fd0
  ...
  0x7a2dc20: bl        #0x7a74dc0
  ...
  0x7a2dc40: bl        #0x2efa4dc
  ...
  0x7a2dc78: bl        #0x744c300
  ...
  0x7a2dc8c: bl        #0x2efa56c
  ...
  0x7a2dcb8: bl        #0x2efa56c
  ...
  0x7a2dcc8: bl        #0x2efa56c
  ...
  0x7a2dcd8: bl        #0x2efa4dc
  ...
  0x7a2dd10: bl        #0x744c300
  ...
  0x7a2dd20: bl        #0x2efa56c
  ...
  0x7a2dd38: bl        #0x7ad5658
  ...
  0x7a2dd50: bl        #0x7a73fd0
  ...
  0x7a2dd5c: bl        #0x813fe80
  ...
  0x7a2dd64: bl        #0x8142474
  ...
  0x7a2dd70: bl        #0x7a74db4
  ...
  0x7a2dd90: blr       x8
  ...
  0x7a2ddd0: bl        #0x7a74dc0
  ...
  0x7a2ddec: bl        #0x8b35290
  ...
  0x7a2de48: bl        #0x7a2d7b8
  ...
  0x7a2de84: bl        #0x7ad6704
  ...
  0x7a2de8c: bl        #0x7addb48
  ...
  0x7a2deac: bl        #0x7a2dffc
  ...
  0x7a2dec8: bl        #0x744b54c
  ...
  0x7a2defc: bl        #0x7a2dffc
  ...
  0x7a2df08: bl        #0x744b54c
  ...
  0x7a2df24: bl        #0x2efb614
  ...
  0x7a2df34: bl        #0x744bd68
  ...
  0x7a2df44: bl        #0x2efa56c
  ...
  0x7a2df54: bl        #0x2efa56c
  ...
  0x7a2df60: bl        #0x79b1480
  ...
  0x7a2dfe8: bl        #0x744bd68
  ...
  0x7a2dff8: bl        #0x8b35290
  ...
  0x7a2e028: mov       x19, x0
  0x7a2e02c: and       w25, w1, #1
  0x7a2e030: and       w24, w2, #1
  0x7a2e034: stur      x8, [x29, #-8]
  0x7a2e038: bl        #0x73ec458
  0x7a2e03c: mov       w1, wzr
  0x7a2e040: mov       w2, wzr
  0x7a2e044: bl        #0x73ecbcc
  0x7a2e048: ldr       x8, [x19, #0x118]
  0x7a2e04c: cbz       x8, #0x7a2e098
  0x7a2e050: mov       w9, #1
  0x7a2e054: strb      w9, [x8, #0x7c]
  0x7a2e058: mov       w8, #0x24
  0x7a2e05c: strb      w25, [x19, #0xc8]
  0x7a2e060: strb      w24, [x19, #0xc9]
  0x7a2e064: str       wzr, [x19, #0xe0]
  0x7a2e068: str       w8, [x19, #0x70]
  0x7a2e06c: ldr       x8, [x23, #0x28]
  0x7a2e070: ldur      x9, [x29, #-8]
  0x7a2e074: cmp       x8, x9
  0x7a2e078: b.ne      #0x7a2e254
  ...
  0x7a2e098: bl        #0x7a73fd0
  ...
  0x7a2e0a4: bl        #0x7a7409c
  ...
  0x7a2e0b0: bl        #0x7a74134
  ...
